tx_id,customer_id,channel,country,period,amount_sar,is_fraud
1,718,web,SA,before_policy,173.82604634103242,0
2,485,web,SA,after_policy,124.8730962600846,0
3,503,mobile,INTL,after_policy,111.00148417264869,0
4,422,web,SA,after_policy,298.0317969946621,0
5,10,mobile,SA,after_policy,37.89257629289052,0
6,128,branch,SA,before_policy,207.4771505391625,0
7,115,web,SA,before_policy,106.30081044504811,0
8,732,mobile,SA,after_policy,39.10894742917625,0
9,40,web,SA,after_policy,75.02139985847062,0
10,446,branch,SA,after_policy,144.715209326947,0
11,291,web,SA,after_policy,159.33923142011395,0
12,5,mobile,INTL,before_policy,249.13704307490826,0
13,736,web,SA,before_policy,261.2852609151319,0
14,15,web,SA,after_policy,50.26452328314786,0
15,685,mobile,SA,after_policy,193.3017637220316,0
16,623,web,SA,after_policy,247.14637721361268,0
17,635,mobile,SA,after_policy,172.99208372788215,0
18,130,web,SA,after_policy,210.96854354662293,0
19,705,web,SA,after_policy,38.36844724394676,0
20,479,mobile,SA,before_policy,74.20633377719469,0
21,322,branch,SA,after_policy,386.1527056282292,0
22,545,mobile,SA,before_policy,122.02234387751602,0
23,274,mobile,SA,before_policy,703.5737755237323,0
24,224,mobile,SA,after_policy,60.64907063701376,0
25,231,mobile,SA,before_policy,443.4746179099783,0
26,456,web,INTL,before_policy,96.78635957876112,0
27,481,mobile,SA,after_policy,271.4302466812844,0
28,193,branch,SA,after_policy,120.6908489999205,0
29,197,branch,GCC,before_policy,160.9308393653196,0
30,758,web,SA,after_policy,225.17554886990354,0
31,412,mobile,INTL,after_policy,96.60714632405569,0
32,689,web,INTL,before_policy,260.0241409238444,0
33,265,mobile,GCC,after_policy,123.20977337492508,0
34,231,web,INTL,after_policy,168.11276149077693,0
35,227,mobile,SA,after_policy,23.298291308743195,0
36,424,branch,SA,after_policy,117.19805810122581,0
37,624,mobile,GCC,after_policy,359.4156045870645,0
38,401,mobile,GCC,after_policy,241.35624353412095,0
39,236,branch,SA,before_policy,276.0499782777791,0
40,769,mobile,SA,after_policy,154.05695543137773,0
41,458,web,SA,after_policy,479.8109403411193,0
42,316,branch,GCC,before_policy,181.6182763138666,0
43,8,mobile,SA,after_policy,93.49705537228184,0
44,450,mobile,SA,after_policy,270.0477006789009,0
45,497,mobile,SA,before_policy,283.1052825605386,0
46,743,web,SA,before_policy,230.6067450338645,0
47,185,branch,INTL,after_policy,111.93812673474974,0
48,131,mobile,SA,before_policy,180.73475608121768,0
49,800,web,SA,after_policy,393.59694470040426,0
50,441,mobile,SA,before_policy,207.32445801378725,0
51,22,web,SA,after_policy,52.75012934101115,0
52,85,web,SA,after_policy,95.57061528099574,0
53,381,web,SA,before_policy,92.50977011620265,0
54,494,mobile,SA,after_policy,87.52930150805896,0
55,195,mobile,GCC,before_policy,33.85548377416932,0
56,293,mobile,SA,before_policy,557.4675355543028,0
57,589,mobile,SA,after_policy,80.36660031390932,0
58,775,mobile,SA,before_policy,84.5409627623247,0
59,393,web,INTL,after_policy,38.12247798238061,0
60,333,mobile,SA,after_policy,272.18998297068003,0
61,289,mobile,SA,before_policy,139.26722965652695,0
62,109,web,INTL,before_policy,116.0893875214591,0
63,43,mobile,GCC,after_policy,120.4697944793416,0
64,668,mobile,SA,before_policy,223.95901684153736,0
65,30,branch,SA,after_policy,106.057875726279,0
66,657,mobile,SA,before_policy,36.88368292599634,0
67,198,mobile,SA,after_policy,60.0948917034527,0
68,556,mobile,SA,before_policy,57.94938553039004,0
69,762,mobile,SA,before_policy,179.95781980040513,0
70,600,mobile,SA,after_policy,284.5796924419415,0
71,584,mobile,SA,before_policy,414.08196648575506,0
72,212,mobile,GCC,after_policy,47.25572959757153,0
73,479,web,SA,before_policy,229.10698195577476,0
74,514,mobile,GCC,before_policy,96.49104107719715,0
75,341,mobile,SA,before_policy,1148.739639241852,0
76,31,mobile,SA,after_policy,390.9141190379833,0
77,730,branch,SA,after_policy,488.4938043993122,0
78,158,mobile,SA,before_policy,260.26696018045067,0
79,779,web,SA,after_policy,193.89596212961726,0
80,746,mobile,SA,after_policy,111.96562678747432,0
81,16,branch,SA,before_policy,97.56076673433674,0
82,592,mobile,SA,before_policy,84.76870578469588,0
83,508,mobile,SA,before_policy,228.67526963107397,0
84,185,mobile,SA,before_policy,442.42986708260776,0
85,651,mobile,SA,after_policy,115.61139354898349,0
86,90,web,SA,after_policy,89.510490706719,0
87,199,web,SA,before_policy,52.53857262017585,0
88,760,web,SA,after_policy,176.14088677873596,0
89,595,mobile,SA,before_policy,350.8950713361618,0
90,90,web,GCC,after_policy,363.40907419014206,0
